epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.6095,43.37,1.3334,51.88,65.5,0.4102,849.4,375.36 MFLOPs,5351626
2,1.2196,56.35,1.141,59.1,65.87,0.4136,849.4,375.36 MFLOPs,5351626
3,1.0965,60.98,1.0433,62.48,66.47,0.4205,849.4,375.36 MFLOPs,5351626
4,0.9939,64.74,1.0683,62.44,67.11,0.4246,849.4,375.36 MFLOPs,5351626
5,0.9123,67.64,0.9867,65.43,67.75,0.4269,849.4,375.36 MFLOPs,5351626
6,0.8407,70.18,0.9269,67.31,68.11,0.4309,849.4,375.36 MFLOPs,5351626
7,0.7807,72.27,0.8974,68.13,68.29,0.4314,849.4,375.36 MFLOPs,5351626
8,0.7143,74.52,0.8511,71.05,68.39,0.4299,849.4,375.36 MFLOPs,5351626
9,0.6578,76.59,0.895,69.45,68.71,0.4343,849.4,375.36 MFLOPs,5351626
10,0.6089,78.32,0.8676,70.89,68.56,0.4301,849.4,375.36 MFLOPs,5351626
11,0.555,80.26,0.8608,71.13,68.85,0.4335,849.4,375.36 MFLOPs,5351626
12,0.5068,82.02,0.8468,72.35,68.63,0.4344,849.4,375.36 MFLOPs,5351626
13,0.4609,83.61,0.8542,71.98,68.73,0.4341,849.4,375.36 MFLOPs,5351626
14,0.4176,85.01,0.8751,72.65,69.07,0.4337,849.4,375.36 MFLOPs,5351626
15,0.3773,86.48,0.9065,72.76,68.72,0.434,849.4,375.36 MFLOPs,5351626
16,0.3476,87.57,0.9882,70.11,68.86,0.434,849.4,375.36 MFLOPs,5351626
17,0.3103,88.78,0.8758,74.41,69.06,0.4341,849.4,375.36 MFLOPs,5351626
18,0.284,89.88,0.9706,73.13,69.15,0.4342,849.4,375.36 MFLOPs,5351626
19,0.2619,90.48,0.9539,73.71,68.93,0.4337,849.4,375.36 MFLOPs,5351626
20,0.2425,91.35,1.0292,72.51,68.85,0.4337,849.4,375.36 MFLOPs,5351626
21,0.2318,91.58,1.0165,73.19,68.88,0.434,849.4,375.36 MFLOPs,5351626
22,0.2126,92.39,1.0699,72.06,69.15,0.4341,849.4,375.36 MFLOPs,5351626
23,0.2067,92.61,1.1479,72.39,69.15,0.4344,849.4,375.36 MFLOPs,5351626
24,0.1899,93.21,1.116,72.6,69.23,0.4339,849.4,375.36 MFLOPs,5351626
25,0.192,93.23,1.0735,73.07,69.22,0.434,849.4,375.36 MFLOPs,5351626
26,0.1742,93.85,1.0546,73.8,69.14,0.4339,849.4,375.36 MFLOPs,5351626
27,0.1759,93.9,1.1224,73.69,69.19,0.4341,849.4,375.36 MFLOPs,5351626
28,0.1731,93.85,1.0952,73.02,69.19,0.4337,849.4,375.36 MFLOPs,5351626
29,0.1658,94.05,1.0935,73.33,69.18,0.4341,849.4,375.36 MFLOPs,5351626
30,0.1604,94.35,1.1084,73.27,69.07,0.4341,849.4,375.36 MFLOPs,5351626
31,0.1549,94.5,1.0638,74.31,69.18,0.4338,849.4,375.36 MFLOPs,5351626
32,0.1525,94.61,1.1136,73.88,69.21,0.4339,849.4,375.36 MFLOPs,5351626
33,0.1554,94.52,1.1348,73.15,69.16,0.4343,849.4,375.36 MFLOPs,5351626
34,0.1397,95.05,1.1488,73.63,69.19,0.4344,849.4,375.36 MFLOPs,5351626
35,0.1472,94.77,1.171,73.36,69.23,0.4341,849.4,375.36 MFLOPs,5351626
36,0.1419,94.84,1.2209,72.86,69.18,0.4338,849.4,375.36 MFLOPs,5351626
37,0.1428,94.93,1.1718,74.34,69.3,0.4343,849.4,375.36 MFLOPs,5351626
38,0.1364,95.18,1.1639,74.11,69.3,0.4339,849.4,375.36 MFLOPs,5351626
39,0.1356,95.3,1.145,74.51,68.77,0.4344,849.4,375.36 MFLOPs,5351626
40,0.1337,95.31,1.1584,73.7,69.17,0.434,849.4,375.36 MFLOPs,5351626
41,0.1302,95.37,1.2104,73.16,69.0,0.434,849.4,375.36 MFLOPs,5351626
42,0.1271,95.49,1.1412,74.02,69.17,0.4337,849.4,375.36 MFLOPs,5351626
43,0.1323,95.42,1.1462,73.88,69.21,0.4339,849.4,375.36 MFLOPs,5351626
44,0.1303,95.36,1.1487,73.11,69.28,0.4342,849.4,375.36 MFLOPs,5351626
45,0.1234,95.71,1.2051,74.12,69.17,0.434,849.4,375.36 MFLOPs,5351626
46,0.1263,95.47,1.1929,74.24,69.16,0.4339,849.4,375.36 MFLOPs,5351626
47,0.12,95.77,1.1966,73.41,69.1,0.4338,849.4,375.36 MFLOPs,5351626
48,0.1171,95.91,1.2251,74.2,69.21,0.4341,849.4,375.36 MFLOPs,5351626
49,0.1328,95.37,1.1919,74.0,68.94,0.4337,849.4,375.36 MFLOPs,5351626
50,0.1137,96.06,1.1767,74.24,69.12,0.434,849.4,375.36 MFLOPs,5351626
51,0.1232,95.58,1.3376,71.65,69.2,0.4342,849.4,375.36 MFLOPs,5351626
52,0.1129,96.08,1.2068,73.58,68.94,0.4339,849.4,375.36 MFLOPs,5351626
53,0.1207,95.66,1.171,74.91,69.12,0.434,849.4,375.36 MFLOPs,5351626
54,0.1134,96.05,1.2525,73.34,69.02,0.4337,849.4,375.36 MFLOPs,5351626
55,0.1117,96.05,1.1686,75.01,69.13,0.434,849.4,375.36 MFLOPs,5351626
56,0.118,95.91,1.3198,72.6,69.16,0.434,849.4,375.36 MFLOPs,5351626
57,0.1106,96.12,1.1649,74.81,69.16,0.4339,849.4,375.36 MFLOPs,5351626
58,0.1111,96.09,1.2835,72.81,69.15,0.4338,849.4,375.36 MFLOPs,5351626
59,0.115,96.02,1.2551,73.23,69.19,0.4339,849.4,375.36 MFLOPs,5351626
60,0.1177,95.91,1.2005,73.57,69.17,0.4344,849.4,375.36 MFLOPs,5351626
61,0.1058,96.34,1.3016,72.97,69.18,0.434,849.4,375.36 MFLOPs,5351626
62,0.1148,95.98,1.2014,74.75,69.17,0.4341,849.4,375.36 MFLOPs,5351626
63,0.1123,95.98,1.1979,73.84,69.2,0.4339,849.4,375.36 MFLOPs,5351626
64,0.105,96.26,1.1793,74.42,69.17,0.434,849.4,375.36 MFLOPs,5351626
65,0.1043,96.37,1.2701,73.71,69.02,0.4341,849.4,375.36 MFLOPs,5351626
66,0.1091,96.16,1.2447,73.68,69.1,0.4314,849.4,375.36 MFLOPs,5351626
67,0.1105,96.21,1.2248,73.42,69.04,0.4339,849.4,375.36 MFLOPs,5351626
68,0.1,96.53,1.3186,73.14,68.97,0.4335,849.4,375.36 MFLOPs,5351626
69,0.1096,96.14,1.1896,74.2,69.15,0.4337,849.4,375.36 MFLOPs,5351626
70,0.1038,96.37,1.242,73.0,69.19,0.4341,849.4,375.36 MFLOPs,5351626
