epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5848,43.88,1.4142,48.81,65.64,0.4115,849.82,377.13 MFLOPs,5379274
2,1.2256,55.98,1.2044,57.31,66.01,0.4144,849.82,377.13 MFLOPs,5379274
3,1.0938,60.68,1.1228,59.18,66.75,0.4225,849.82,377.13 MFLOPs,5379274
4,1.0006,64.4,0.999,64.63,67.62,0.4276,849.82,377.13 MFLOPs,5379274
5,0.9148,67.52,0.9903,65.0,68.06,0.4326,849.82,377.13 MFLOPs,5379274
6,0.8364,70.43,0.908,68.07,68.12,0.4329,849.82,377.13 MFLOPs,5379274
7,0.7719,72.76,0.9106,68.34,68.74,0.4311,849.82,377.13 MFLOPs,5379274
8,0.7067,74.98,1.0202,65.75,68.72,0.4335,849.82,377.13 MFLOPs,5379274
9,0.6539,76.96,0.8438,71.61,68.81,0.4346,849.82,377.13 MFLOPs,5379274
10,0.5982,79.06,0.8172,71.9,69.11,0.4342,849.82,377.13 MFLOPs,5379274
11,0.5517,80.69,0.8417,71.88,69.11,0.4352,849.82,377.13 MFLOPs,5379274
12,0.5011,82.14,0.8515,72.71,69.15,0.435,849.82,377.13 MFLOPs,5379274
13,0.4611,83.68,0.8571,72.1,69.32,0.4347,849.82,377.13 MFLOPs,5379274
14,0.4167,85.19,0.8198,73.57,69.32,0.4347,849.82,377.13 MFLOPs,5379274
15,0.3778,86.66,0.8374,74.46,69.24,0.4346,849.82,377.13 MFLOPs,5379274
16,0.3535,87.45,0.8778,73.5,69.31,0.4346,849.82,377.13 MFLOPs,5379274
17,0.3214,88.53,0.8845,74.43,69.11,0.4348,849.82,377.13 MFLOPs,5379274
18,0.2987,89.5,0.9331,74.22,69.26,0.4344,849.82,377.13 MFLOPs,5379274
19,0.2808,89.89,0.944,74.02,69.41,0.435,849.82,377.13 MFLOPs,5379274
20,0.2604,90.75,0.9142,74.73,69.26,0.4343,849.82,377.13 MFLOPs,5379274
21,0.2466,91.25,0.956,74.06,69.26,0.4347,849.82,377.13 MFLOPs,5379274
22,0.2309,91.75,0.9751,74.64,69.27,0.435,849.82,377.13 MFLOPs,5379274
23,0.2261,91.96,0.9454,75.0,69.26,0.4341,849.82,377.13 MFLOPs,5379274
24,0.206,92.57,0.9739,74.64,69.35,0.4345,849.82,377.13 MFLOPs,5379274
25,0.1954,93.0,0.9928,75.22,69.31,0.4344,849.82,377.13 MFLOPs,5379274
26,0.1939,93.15,1.0975,74.06,69.25,0.4343,849.82,377.13 MFLOPs,5379274
27,0.1916,93.3,1.0031,74.53,69.25,0.4345,849.82,377.13 MFLOPs,5379274
28,0.1759,93.73,1.032,74.51,69.27,0.4347,849.82,377.13 MFLOPs,5379274
29,0.1816,93.54,0.9846,75.52,69.25,0.4348,849.82,377.13 MFLOPs,5379274
30,0.1658,94.15,1.017,74.31,69.22,0.4347,849.82,377.13 MFLOPs,5379274
31,0.169,93.98,1.063,74.39,69.27,0.435,849.82,377.13 MFLOPs,5379274
