epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5708,44.52,1.2291,55.45,76.93,0.5055,861.9,376.43 MFLOPs,5349898
2,1.1643,58.59,1.1423,59.13,77.24,0.5077,861.9,376.43 MFLOPs,5349898
3,1.0247,63.61,0.9939,64.47,77.89,0.5143,861.9,376.43 MFLOPs,5349898
4,0.917,67.61,1.0057,64.79,78.34,0.5162,861.9,376.43 MFLOPs,5349898
5,0.8241,70.95,0.8923,69.05,78.82,0.5192,861.9,376.43 MFLOPs,5349898
6,0.7463,73.65,0.8198,71.53,78.77,0.5146,861.9,376.43 MFLOPs,5349898
7,0.6697,76.45,0.8063,72.2,78.99,0.5249,861.9,376.43 MFLOPs,5349898
8,0.6073,78.52,0.7872,73.07,79.04,0.5228,861.9,376.43 MFLOPs,5349898
9,0.5453,80.65,0.7545,74.7,79.26,0.5271,861.9,376.43 MFLOPs,5349898
10,0.4885,82.8,0.7112,76.56,79.33,0.5233,861.9,376.43 MFLOPs,5349898
11,0.4466,84.11,0.7288,75.95,79.61,0.525,861.9,376.43 MFLOPs,5349898
12,0.3939,86.01,0.7598,76.19,79.71,0.5256,861.9,376.43 MFLOPs,5349898
13,0.3637,87.09,0.7247,77.14,79.92,0.5232,861.9,376.43 MFLOPs,5349898
14,0.3247,88.42,0.739,77.3,79.76,0.5259,861.9,376.43 MFLOPs,5349898
15,0.3005,89.36,0.7455,78.33,79.72,0.5274,861.9,376.43 MFLOPs,5349898
16,0.2788,90.06,0.7684,77.81,79.77,0.5256,861.9,376.43 MFLOPs,5349898
17,0.2505,91.01,0.7807,78.41,79.83,0.5254,861.9,376.43 MFLOPs,5349898
18,0.2376,91.53,0.7705,78.71,79.71,0.5269,861.9,376.43 MFLOPs,5349898
19,0.2171,92.12,0.8724,77.08,79.64,0.5263,861.9,376.43 MFLOPs,5349898
20,0.2057,92.61,0.8718,77.22,79.64,0.5253,861.9,376.43 MFLOPs,5349898
21,0.194,93.01,0.8852,77.12,79.71,0.522,861.9,376.43 MFLOPs,5349898
22,0.1831,93.56,0.8516,77.84,79.34,0.5252,861.9,376.43 MFLOPs,5349898
23,0.1721,93.87,0.9037,77.73,79.62,0.525,861.9,376.43 MFLOPs,5349898
24,0.1663,94.13,0.9463,77.41,79.77,0.526,861.9,376.43 MFLOPs,5349898
25,0.165,94.08,0.8815,77.89,79.79,0.5282,861.9,376.43 MFLOPs,5349898
26,0.1544,94.61,0.8875,78.35,79.96,0.5286,861.9,376.43 MFLOPs,5349898
27,0.1493,94.68,0.8605,78.67,79.9,0.529,861.9,376.43 MFLOPs,5349898
28,0.1497,94.75,0.9091,77.96,80.09,0.5312,861.9,376.43 MFLOPs,5349898
29,0.1337,95.24,0.9345,77.54,79.93,0.5281,861.9,376.43 MFLOPs,5349898
30,0.134,95.2,0.9725,78.39,80.14,0.5271,861.9,376.43 MFLOPs,5349898
31,0.1436,94.94,0.9331,77.63,79.62,0.5242,861.9,376.43 MFLOPs,5349898
32,0.1333,95.32,0.984,77.88,79.73,0.526,861.9,376.43 MFLOPs,5349898
33,0.1352,95.21,0.9371,78.25,79.74,0.5282,861.9,376.43 MFLOPs,5349898
34,0.1267,95.46,0.9443,77.72,79.68,0.526,861.9,376.43 MFLOPs,5349898
35,0.1276,95.61,0.9595,78.02,79.7,0.5293,861.9,376.43 MFLOPs,5349898
36,0.1211,95.73,1.0747,76.61,79.82,0.5264,861.9,376.43 MFLOPs,5349898
37,0.1185,95.86,0.9563,78.03,79.45,0.5244,861.9,376.43 MFLOPs,5349898
38,0.1224,95.63,0.932,78.53,79.39,0.527,861.9,376.43 MFLOPs,5349898
39,0.1118,96.11,0.9911,78.35,79.68,0.5245,861.9,376.43 MFLOPs,5349898
40,0.1213,95.65,0.9606,78.7,80.0,0.5283,861.9,376.43 MFLOPs,5349898
41,0.114,95.98,0.9513,78.7,80.08,0.5271,861.9,376.43 MFLOPs,5349898
42,0.1134,95.97,0.9932,78.24,80.16,0.5299,861.9,376.43 MFLOPs,5349898
43,0.1123,96.07,0.9221,79.4,80.04,0.5261,861.9,376.43 MFLOPs,5349898
44,0.1083,96.2,0.9527,79.17,79.98,0.5263,861.9,376.43 MFLOPs,5349898
45,0.1111,96.16,0.99,78.04,79.98,0.5259,861.9,376.43 MFLOPs,5349898
46,0.1069,96.32,1.0379,77.94,80.0,0.5271,861.9,376.43 MFLOPs,5349898
47,0.1071,96.32,1.0193,78.27,79.62,0.5231,861.9,376.43 MFLOPs,5349898
48,0.108,96.12,1.0314,78.68,79.77,0.5302,861.9,376.43 MFLOPs,5349898
49,0.1078,96.15,0.9815,79.11,79.62,0.5298,861.9,376.43 MFLOPs,5349898
50,0.1056,96.26,0.9485,79.47,79.79,0.5232,861.9,376.43 MFLOPs,5349898
51,0.1046,96.35,0.9668,78.37,79.42,0.5263,861.9,376.43 MFLOPs,5349898
52,0.0941,96.72,1.0587,77.48,79.82,0.5278,861.9,376.43 MFLOPs,5349898
53,0.1122,96.12,0.9873,78.77,79.89,0.5266,861.9,376.43 MFLOPs,5349898
54,0.0981,96.55,1.0046,78.29,80.04,0.5244,861.9,376.43 MFLOPs,5349898
55,0.1031,96.36,0.9515,78.81,80.03,0.5292,861.9,376.43 MFLOPs,5349898
56,0.0945,96.7,1.0103,78.49,80.2,0.5248,861.9,376.43 MFLOPs,5349898
57,0.1029,96.47,0.9486,79.31,79.92,0.526,861.9,376.43 MFLOPs,5349898
58,0.0982,96.59,0.9533,79.13,79.75,0.5253,861.9,376.43 MFLOPs,5349898
59,0.0926,96.72,0.9798,78.27,79.97,0.5247,861.9,376.43 MFLOPs,5349898
60,0.0984,96.56,1.0215,78.81,79.86,0.5261,861.9,376.43 MFLOPs,5349898
61,0.1015,96.46,0.9819,79.12,79.73,0.5223,861.9,376.43 MFLOPs,5349898
62,0.0907,96.78,1.0684,78.25,79.83,0.5247,861.9,376.43 MFLOPs,5349898
63,0.0968,96.6,1.0082,78.76,79.54,0.5247,861.9,376.43 MFLOPs,5349898
64,0.0976,96.5,0.9681,79.04,79.64,0.5253,861.9,376.43 MFLOPs,5349898
65,0.0918,96.78,0.9735,79.32,80.07,0.5282,861.9,376.43 MFLOPs,5349898
66,0.0969,96.65,0.9964,78.53,80.09,0.5289,861.9,376.43 MFLOPs,5349898
67,0.0886,96.9,0.9719,79.33,79.99,0.5291,861.9,376.43 MFLOPs,5349898
68,0.0972,96.61,0.954,79.8,79.96,0.5292,861.9,376.43 MFLOPs,5349898
69,0.0876,96.91,1.005,79.47,80.11,0.5267,861.9,376.43 MFLOPs,5349898
70,0.0887,96.85,1.0159,78.33,79.72,0.529,861.9,376.43 MFLOPs,5349898
