epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.7767,37.99,1.4275,47.62,68.2,0.4301,873.86,375.81 MFLOPs,5351436
2,1.2821,53.69,1.2468,53.68,68.49,0.4314,873.86,375.81 MFLOPs,5351436
3,1.1417,58.72,1.1507,57.33,69.21,0.4448,873.86,375.81 MFLOPs,5351436
4,1.0424,63.02,0.992,64.19,69.85,0.4421,873.86,375.81 MFLOPs,5351436
5,0.954,66.0,0.9428,66.45,70.24,0.446,873.86,375.81 MFLOPs,5351436
6,0.8855,68.23,0.9189,67.45,70.79,0.4468,873.86,375.81 MFLOPs,5351436
7,0.8284,70.38,0.8838,68.33,70.78,0.4466,873.86,375.81 MFLOPs,5351436
8,0.7721,72.59,0.8295,71.08,70.68,0.4488,873.86,375.81 MFLOPs,5351436
9,0.7145,74.37,0.8563,69.99,70.83,0.4523,873.86,375.81 MFLOPs,5351436
10,0.6713,76.07,0.8008,71.94,70.56,0.4491,873.86,375.81 MFLOPs,5351436
11,0.6258,77.79,0.8064,72.23,70.64,0.4458,873.86,375.81 MFLOPs,5351436
12,0.5787,79.38,0.7758,73.53,70.93,0.4505,873.86,375.81 MFLOPs,5351436
13,0.543,80.65,0.8047,73.11,71.26,0.453,873.86,375.81 MFLOPs,5351436
14,0.507,82.06,0.7714,73.86,70.98,0.4511,873.86,375.81 MFLOPs,5351436
15,0.4745,83.0,0.7397,75.14,70.93,0.4494,873.86,375.81 MFLOPs,5351436
16,0.4401,84.23,0.7585,74.81,70.88,0.4497,873.86,375.81 MFLOPs,5351436
17,0.4006,85.84,0.7291,76.1,71.08,0.453,873.86,375.81 MFLOPs,5351436
18,0.3762,86.36,0.7372,76.21,71.13,0.4539,873.86,375.81 MFLOPs,5351436
19,0.3529,87.47,0.7827,75.79,71.39,0.4537,873.86,375.81 MFLOPs,5351436
20,0.3286,88.12,0.7576,76.65,71.57,0.4539,873.86,375.81 MFLOPs,5351436
21,0.2999,89.13,0.7982,76.28,71.39,0.4525,873.86,375.81 MFLOPs,5351436
22,0.2844,89.73,0.7914,76.63,71.43,0.4537,873.86,375.81 MFLOPs,5351436
23,0.2719,90.11,0.8436,76.22,71.36,0.4532,873.86,375.81 MFLOPs,5351436
24,0.2501,91.1,0.8289,77.2,71.49,0.4537,873.86,375.81 MFLOPs,5351436
25,0.2406,91.34,0.8751,76.01,71.24,0.4516,873.86,375.81 MFLOPs,5351436
26,0.2301,91.78,0.849,76.66,71.4,0.4515,873.86,375.81 MFLOPs,5351436
27,0.2177,92.21,0.8905,76.4,71.13,0.4533,873.86,375.81 MFLOPs,5351436
28,0.2129,92.38,0.8833,76.12,70.87,0.4518,873.86,375.81 MFLOPs,5351436
29,0.2056,92.56,0.8201,77.8,71.25,0.4504,873.86,375.81 MFLOPs,5351436
30,0.1941,93.09,0.8696,77.06,71.44,0.4529,873.86,375.81 MFLOPs,5351436
31,0.1844,93.43,0.8895,76.16,71.41,0.4527,873.86,375.81 MFLOPs,5351436
32,0.1846,93.41,0.9438,76.27,71.55,0.4628,873.86,375.81 MFLOPs,5351436
33,0.1841,93.42,0.8811,77.68,71.7,0.4534,873.86,375.81 MFLOPs,5351436
34,0.1741,93.76,0.8835,77.3,71.7,0.4543,873.86,375.81 MFLOPs,5351436
35,0.1729,93.84,0.9021,76.95,71.49,0.4537,873.86,375.81 MFLOPs,5351436
36,0.1692,93.98,0.8456,77.73,71.48,0.4531,873.86,375.81 MFLOPs,5351436
37,0.1619,94.14,0.9335,76.59,71.33,0.4529,873.86,375.81 MFLOPs,5351436
38,0.156,94.46,0.9055,77.07,71.35,0.4531,873.86,375.81 MFLOPs,5351436
39,0.1576,94.41,0.9674,76.25,71.01,0.4518,873.86,375.81 MFLOPs,5351436
40,0.1562,94.44,0.9202,77.48,71.19,0.4533,873.86,375.81 MFLOPs,5351436
41,0.1478,94.76,0.9494,77.44,71.33,0.451,873.86,375.81 MFLOPs,5351436
42,0.1455,94.81,1.0261,76.8,71.26,0.4531,873.86,375.81 MFLOPs,5351436
43,0.149,94.63,0.8905,78.41,71.12,0.4528,873.86,375.81 MFLOPs,5351436
44,0.1448,94.93,0.9048,78.15,71.44,0.4529,873.86,375.81 MFLOPs,5351436
45,0.1402,95.07,0.9501,77.06,71.52,0.4536,873.86,375.81 MFLOPs,5351436
46,0.1415,95.08,0.9513,77.31,71.8,0.4535,873.86,375.81 MFLOPs,5351436
47,0.1423,95.04,0.9064,78.01,71.42,0.4535,873.86,375.81 MFLOPs,5351436
48,0.1443,94.92,0.9707,78.11,71.63,0.449,873.86,375.81 MFLOPs,5351436
49,0.1313,95.4,0.942,77.28,71.61,0.4497,873.86,375.81 MFLOPs,5351436
50,0.133,95.29,0.9568,77.72,71.61,0.4531,873.86,375.81 MFLOPs,5351436
51,0.1293,95.46,0.9841,76.67,71.44,0.453,873.86,375.81 MFLOPs,5351436
52,0.1321,95.36,1.009,76.6,71.62,0.4531,873.86,375.81 MFLOPs,5351436
53,0.1344,95.23,0.8934,78.13,71.83,0.4533,873.86,375.81 MFLOPs,5351436
54,0.1241,95.61,0.9281,77.42,71.44,0.4526,873.86,375.81 MFLOPs,5351436
55,0.1286,95.47,0.9363,78.01,72.11,0.4534,873.86,375.81 MFLOPs,5351436
56,0.1283,95.44,0.9976,77.55,71.39,0.4527,873.86,375.81 MFLOPs,5351436
57,0.1286,95.38,0.9603,76.96,71.42,0.4518,873.86,375.81 MFLOPs,5351436
58,0.1208,95.8,0.9111,77.8,71.23,0.453,873.86,375.81 MFLOPs,5351436
59,0.1205,95.71,0.9807,77.74,71.47,0.4625,873.86,375.81 MFLOPs,5351436
60,0.1172,95.91,0.981,77.83,71.62,0.4532,873.86,375.81 MFLOPs,5351436
61,0.1245,95.63,1.0045,76.75,71.37,0.4511,873.86,375.81 MFLOPs,5351436
62,0.1146,95.96,0.9912,77.0,71.23,0.4504,873.86,375.81 MFLOPs,5351436
63,0.1264,95.51,0.9985,77.0,71.09,0.4505,873.86,375.81 MFLOPs,5351436
64,0.1126,95.94,1.1067,75.3,71.28,0.4508,873.86,375.81 MFLOPs,5351436
65,0.1234,95.73,0.9852,76.55,71.26,0.4489,873.86,375.81 MFLOPs,5351436
66,0.1125,96.06,1.0111,77.15,71.05,0.452,873.86,375.81 MFLOPs,5351436
67,0.123,95.66,0.9729,77.62,71.0,0.4517,873.86,375.81 MFLOPs,5351436
68,0.1085,96.17,1.0624,75.94,71.32,0.4536,873.86,375.81 MFLOPs,5351436
69,0.1149,95.98,0.9998,77.28,71.26,0.4533,873.86,375.81 MFLOPs,5351436
70,0.1129,96.06,1.002,76.59,71.64,0.4535,873.86,375.81 MFLOPs,5351436
