epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5704,43.69,1.2903,53.59,60.8,0.3875,832.44,369.26 MFLOPs,5351434
2,1.234,55.88,1.1925,56.95,61.04,0.3906,832.44,369.26 MFLOPs,5351434
3,1.1079,60.74,1.0961,60.63,61.83,0.3988,832.44,369.26 MFLOPs,5351434
4,1.0029,64.47,1.0386,63.0,62.39,0.4015,832.44,369.26 MFLOPs,5351434
5,0.9323,67.11,0.96,65.71,62.73,0.4014,832.44,369.26 MFLOPs,5351434
6,0.8603,69.58,0.9823,65.52,62.88,0.4042,832.44,369.26 MFLOPs,5351434
7,0.8126,71.3,0.8978,68.14,62.98,0.407,832.44,369.26 MFLOPs,5351434
8,0.7564,73.5,0.8964,68.56,63.13,0.407,832.44,369.26 MFLOPs,5351434
9,0.7134,74.89,0.8657,70.24,63.27,0.4053,832.44,369.26 MFLOPs,5351434
10,0.6637,76.36,0.9443,67.62,63.37,0.4037,832.44,369.26 MFLOPs,5351434
11,0.6236,77.73,0.8722,70.04,63.37,0.4038,832.44,369.26 MFLOPs,5351434
12,0.5779,79.63,0.8691,70.86,63.23,0.407,832.44,369.26 MFLOPs,5351434
13,0.5326,81.11,0.8696,71.05,63.41,0.4072,832.44,369.26 MFLOPs,5351434
14,0.4984,82.18,0.8614,71.82,63.37,0.405,832.44,369.26 MFLOPs,5351434
15,0.4562,83.56,0.899,71.26,63.36,0.4074,832.44,369.26 MFLOPs,5351434
16,0.4208,84.88,0.9034,71.5,63.39,0.4068,832.44,369.26 MFLOPs,5351434
17,0.3852,86.04,0.968,70.41,63.44,0.407,832.44,369.26 MFLOPs,5351434
18,0.3547,87.3,0.9843,71.0,63.43,0.4074,832.44,369.26 MFLOPs,5351434
19,0.3211,88.37,0.9522,72.53,63.41,0.4072,832.44,369.26 MFLOPs,5351434
20,0.3105,88.78,0.9669,72.39,63.51,0.4075,832.44,369.26 MFLOPs,5351434
21,0.2794,89.89,1.038,71.1,63.12,0.4073,832.44,369.26 MFLOPs,5351434
22,0.2643,90.36,1.1218,70.76,63.46,0.408,832.44,369.26 MFLOPs,5351434
23,0.2498,90.9,1.0468,72.25,63.62,0.4075,832.44,369.26 MFLOPs,5351434
24,0.2375,91.48,1.0854,72.02,63.43,0.4074,832.44,369.26 MFLOPs,5351434
25,0.2117,92.33,1.1191,71.63,63.7,0.4074,832.44,369.26 MFLOPs,5351434
26,0.2267,91.82,1.0971,72.57,63.74,0.407,832.44,369.26 MFLOPs,5351434
27,0.2059,92.68,1.1412,71.56,63.73,0.4078,832.44,369.26 MFLOPs,5351434
28,0.1974,93.02,1.2534,70.18,63.56,0.4074,832.44,369.26 MFLOPs,5351434
29,0.1936,93.1,1.1051,72.15,63.8,0.4079,832.44,369.26 MFLOPs,5351434
30,0.182,93.52,1.1983,72.05,63.67,0.4073,832.44,369.26 MFLOPs,5351434
