epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5271,46.07,1.2716,54.8,60.75,0.3875,832.44,369.26 MFLOPs,5351434
2,1.155,59.03,1.1309,59.27,60.86,0.3905,832.44,369.26 MFLOPs,5351434
3,1.0242,63.62,1.0098,64.0,61.18,0.3909,832.44,369.26 MFLOPs,5351434
4,0.9326,66.98,0.9797,65.45,61.75,0.3963,832.44,369.26 MFLOPs,5351434
5,0.8673,69.36,0.9396,66.52,62.18,0.3973,832.44,369.26 MFLOPs,5351434
6,0.7934,71.94,0.9031,68.43,62.43,0.4016,832.44,369.26 MFLOPs,5351434
7,0.7394,73.74,0.9004,68.87,62.56,0.4014,832.44,369.26 MFLOPs,5351434
8,0.6783,75.95,0.8574,70.49,62.53,0.4042,832.44,369.26 MFLOPs,5351434
9,0.6293,77.49,0.8434,71.46,62.74,0.403,832.44,369.26 MFLOPs,5351434
10,0.5645,79.94,0.873,70.87,62.9,0.4055,832.44,369.26 MFLOPs,5351434
11,0.5117,81.71,0.8387,72.48,62.96,0.4077,832.44,369.26 MFLOPs,5351434
12,0.4693,83.19,0.9009,70.77,63.32,0.4078,832.44,369.26 MFLOPs,5351434
13,0.4122,85.09,0.9018,71.62,63.36,0.4079,832.44,369.26 MFLOPs,5351434
14,0.3682,86.82,0.9303,72.28,63.4,0.4076,832.44,369.26 MFLOPs,5351434
15,0.333,87.96,0.9448,72.74,63.53,0.407,832.44,369.26 MFLOPs,5351434
16,0.2989,89.25,1.0059,71.64,63.55,0.4084,832.44,369.26 MFLOPs,5351434
17,0.2581,90.64,1.0288,72.3,63.39,0.4079,832.44,369.26 MFLOPs,5351434
18,0.2411,91.23,1.1266,70.32,63.39,0.4082,832.44,369.26 MFLOPs,5351434
19,0.2237,91.95,1.0482,72.44,63.47,0.4081,832.44,369.26 MFLOPs,5351434
20,0.1965,92.76,1.0604,73.15,63.4,0.4074,832.44,369.26 MFLOPs,5351434
21,0.1888,93.18,1.1478,71.38,63.49,0.4079,832.44,369.26 MFLOPs,5351434
22,0.1731,93.78,1.0994,72.9,63.55,0.4079,832.44,369.26 MFLOPs,5351434
23,0.1632,94.12,1.1221,72.84,63.49,0.4076,832.44,369.26 MFLOPs,5351434
24,0.1647,94.17,1.1827,70.97,63.44,0.4081,832.44,369.26 MFLOPs,5351434
25,0.1501,94.53,1.1416,72.82,63.53,0.4082,832.44,369.26 MFLOPs,5351434
26,0.1519,94.43,1.1782,72.88,63.41,0.4082,832.44,369.26 MFLOPs,5351434
27,0.1301,95.37,1.1468,73.48,63.39,0.4081,832.44,369.26 MFLOPs,5351434
28,0.1436,94.84,1.174,72.14,63.26,0.4078,832.44,369.26 MFLOPs,5351434
29,0.1355,95.24,1.1719,72.56,63.18,0.4083,832.44,369.26 MFLOPs,5351434
30,0.1293,95.38,1.2246,72.53,63.59,0.4082,832.44,369.26 MFLOPs,5351434
31,0.122,95.58,1.2038,72.98,63.39,0.4075,832.44,369.26 MFLOPs,5351434
32,0.127,95.45,1.2399,72.5,63.32,0.4079,832.44,369.26 MFLOPs,5351434
33,0.1213,95.61,1.241,72.97,63.61,0.408,832.44,369.26 MFLOPs,5351434
34,0.1122,96.08,1.3033,71.73,63.64,0.4072,832.44,369.26 MFLOPs,5351434
35,0.1384,95.08,1.1994,72.58,63.51,0.408,832.44,369.26 MFLOPs,5351434
36,0.0996,96.45,1.2462,72.49,63.64,0.4076,832.44,369.26 MFLOPs,5351434
37,0.1155,95.82,1.2056,73.28,63.64,0.4076,832.44,369.26 MFLOPs,5351434
38,0.1126,96.07,1.245,72.89,63.63,0.4078,832.44,369.26 MFLOPs,5351434
39,0.1051,96.37,1.2856,72.45,63.63,0.4075,832.44,369.26 MFLOPs,5351434
40,0.1229,95.61,1.2565,72.99,63.6,0.4078,832.44,369.26 MFLOPs,5351434
41,0.0891,96.95,1.2444,73.54,63.46,0.4073,832.44,369.26 MFLOPs,5351434
42,0.1159,95.94,1.3012,71.34,63.63,0.4075,832.44,369.26 MFLOPs,5351434
43,0.1137,95.93,1.2988,71.21,63.49,0.4075,832.44,369.26 MFLOPs,5351434
44,0.089,96.81,1.1927,73.24,63.53,0.408,832.44,369.26 MFLOPs,5351434
45,0.1098,96.15,1.2666,72.81,63.55,0.4078,832.44,369.26 MFLOPs,5351434
46,0.1087,96.12,1.1808,74.54,63.64,0.4081,832.44,369.26 MFLOPs,5351434
47,0.0952,96.68,1.2308,73.13,63.53,0.4078,832.44,369.26 MFLOPs,5351434
48,0.1002,96.44,1.1964,72.93,63.45,0.4081,832.44,369.26 MFLOPs,5351434
49,0.0929,96.68,1.2749,72.67,63.34,0.4076,832.44,369.26 MFLOPs,5351434
50,0.0966,96.54,1.3325,71.8,63.35,0.4088,832.44,369.26 MFLOPs,5351434
51,0.1055,96.2,1.2015,73.23,63.35,0.4077,832.44,369.26 MFLOPs,5351434
52,0.0899,96.89,1.239,73.59,63.5,0.4079,832.44,369.26 MFLOPs,5351434
53,0.0975,96.58,1.2446,73.01,63.4,0.4078,832.44,369.26 MFLOPs,5351434
54,0.0959,96.56,1.3127,72.71,63.57,0.408,832.44,369.26 MFLOPs,5351434
55,0.0933,96.73,1.3244,72.19,63.67,0.4084,832.44,369.26 MFLOPs,5351434
56,0.102,96.41,1.212,73.8,63.66,0.408,832.44,369.26 MFLOPs,5351434
57,0.0853,96.95,1.2619,72.19,63.66,0.4082,832.44,369.26 MFLOPs,5351434
58,0.1105,96.01,1.2474,73.11,63.66,0.4078,832.44,369.26 MFLOPs,5351434
59,0.063,97.8,1.1949,74.41,63.65,0.4076,832.44,369.26 MFLOPs,5351434
60,0.1112,96.15,1.2332,73.32,63.66,0.4081,832.44,369.26 MFLOPs,5351434
61,0.0908,96.8,1.2778,73.11,63.79,0.4078,832.44,369.26 MFLOPs,5351434
62,0.08,97.24,1.2381,72.83,63.62,0.4078,832.44,369.26 MFLOPs,5351434
63,0.0811,97.11,1.256,72.82,63.24,0.4078,832.44,369.26 MFLOPs,5351434
64,0.1067,96.14,1.1951,73.23,63.66,0.4081,832.44,369.26 MFLOPs,5351434
65,0.0781,97.21,1.2348,74.05,63.64,0.4075,832.44,369.26 MFLOPs,5351434
66,0.073,97.43,1.3232,72.55,63.67,0.4081,832.44,369.26 MFLOPs,5351434
67,0.1279,95.33,1.2188,73.49,63.55,0.4081,832.44,369.26 MFLOPs,5351434
68,0.0509,98.31,1.1848,74.56,63.66,0.4076,832.44,369.26 MFLOPs,5351434
69,0.0999,96.45,1.3834,72.1,63.42,0.4077,832.44,369.26 MFLOPs,5351434
70,0.1018,96.39,1.2611,73.6,63.39,0.4066,832.44,369.26 MFLOPs,5351434
