epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5646,44.81,1.294,54.28,82.48,0.5317,953.59,425.59 MFLOPs,5613323
2,1.0195,63.57,0.888,68.95,82.83,0.5323,953.59,425.59 MFLOPs,5613323
3,0.8595,69.68,0.8935,68.85,83.61,0.5443,953.59,425.59 MFLOPs,5613323
4,0.764,73.11,0.7401,74.3,84.16,0.5443,953.59,425.59 MFLOPs,5613323
5,0.6895,75.73,0.7533,74.13,84.65,0.5469,953.59,425.59 MFLOPs,5613323
6,0.6235,78.36,0.6938,76.33,84.92,0.5505,953.59,425.59 MFLOPs,5613323
7,0.5646,80.22,0.6596,76.9,85.05,0.5528,953.59,425.59 MFLOPs,5613323
8,0.5125,81.94,0.6871,76.4,85.38,0.5481,953.59,425.59 MFLOPs,5613323
9,0.463,83.79,0.6278,78.65,85.58,0.5526,953.59,425.59 MFLOPs,5613323
10,0.4155,85.5,0.6256,79.17,85.56,0.5493,953.59,425.59 MFLOPs,5613323
11,0.3719,86.88,0.6126,80.06,85.46,0.5524,953.59,425.59 MFLOPs,5613323
12,0.3361,88.14,0.5891,80.49,85.66,0.5524,953.59,425.59 MFLOPs,5613323
13,0.299,89.28,0.6623,79.88,85.77,0.5498,953.59,425.59 MFLOPs,5613323
14,0.2695,90.39,0.6799,80.05,85.8,0.55,953.59,425.59 MFLOPs,5613323
15,0.2429,91.22,0.6496,80.8,85.86,0.5528,953.59,425.59 MFLOPs,5613323
16,0.2232,92.02,0.6495,81.01,85.96,0.5537,953.59,425.59 MFLOPs,5613323
17,0.1984,92.9,0.6676,81.0,85.97,0.5534,953.59,425.59 MFLOPs,5613323
18,0.1868,93.31,0.674,81.86,85.65,0.5527,953.59,425.59 MFLOPs,5613323
19,0.1701,93.97,0.6775,81.75,85.93,0.5531,953.59,425.59 MFLOPs,5613323
20,0.1621,94.26,0.6609,81.7,85.86,0.5529,953.59,425.59 MFLOPs,5613323
21,0.1573,94.35,0.7075,81.61,85.82,0.5531,953.59,425.59 MFLOPs,5613323
22,0.1453,94.82,0.766,79.8,85.97,0.5529,953.59,425.59 MFLOPs,5613323
23,0.1433,94.92,0.7884,80.39,85.97,0.5533,953.59,425.59 MFLOPs,5613323
24,0.1323,95.38,0.7298,81.0,85.95,0.5529,953.59,425.59 MFLOPs,5613323
25,0.1357,95.27,0.7534,81.08,85.97,0.5533,953.59,425.59 MFLOPs,5613323
26,0.1215,95.76,0.8378,80.0,85.88,0.5531,953.59,425.59 MFLOPs,5613323
27,0.1242,95.66,0.7919,80.89,85.95,0.5531,953.59,425.59 MFLOPs,5613323
28,0.1211,95.79,0.7541,81.29,85.81,0.553,953.59,425.59 MFLOPs,5613323
29,0.1119,96.11,0.7925,81.42,85.88,0.5534,953.59,425.59 MFLOPs,5613323
30,0.1118,96.01,0.7772,81.67,85.96,0.5533,953.59,425.59 MFLOPs,5613323
31,0.1159,95.93,0.7625,82.67,85.87,0.553,953.59,425.59 MFLOPs,5613323
32,0.112,96.14,0.7714,80.43,85.83,0.553,953.59,425.59 MFLOPs,5613323
33,0.1037,96.39,0.8919,81.32,85.83,0.5532,953.59,425.59 MFLOPs,5613323
34,0.1077,96.24,0.8068,80.92,85.94,0.553,953.59,425.59 MFLOPs,5613323
35,0.0992,96.59,0.9027,80.16,85.94,0.5532,953.59,425.59 MFLOPs,5613323
36,0.1052,96.25,0.9295,79.71,85.93,0.5529,953.59,425.59 MFLOPs,5613323
37,0.1006,96.58,0.7344,81.99,85.94,0.5528,953.59,425.59 MFLOPs,5613323
38,0.0983,96.52,0.8249,80.76,85.7,0.5531,953.59,425.59 MFLOPs,5613323
39,0.099,96.43,0.8495,80.57,85.82,0.5528,953.59,425.59 MFLOPs,5613323
40,0.0959,96.68,0.8377,80.51,85.72,0.553,953.59,425.59 MFLOPs,5613323
41,0.0947,96.66,0.8064,81.4,85.94,0.5528,953.59,425.59 MFLOPs,5613323
42,0.0914,96.86,0.8703,80.64,85.94,0.5528,953.59,425.59 MFLOPs,5613323
43,0.0911,96.91,0.8634,81.51,85.93,0.5534,953.59,425.59 MFLOPs,5613323
44,0.0936,96.83,0.807,81.58,85.94,0.5533,953.59,425.59 MFLOPs,5613323
