epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.7737,37.89,1.3794,49.6,70.77,0.4528,874.28,377.58 MFLOPs,5379084
2,1.305,52.77,1.1769,58.22,71.77,0.4527,874.28,377.58 MFLOPs,5379084
3,1.1455,59.1,1.146,58.38,71.84,0.4526,874.28,377.58 MFLOPs,5379084
4,1.0464,62.48,1.0349,62.76,71.85,0.4523,874.28,377.58 MFLOPs,5379084
5,0.9613,65.8,1.0236,63.1,71.9,0.4527,874.28,377.58 MFLOPs,5379084
6,0.8878,68.59,0.9006,67.61,71.93,0.4526,874.28,377.58 MFLOPs,5379084
7,0.8209,71.01,0.8688,69.24,71.88,0.4532,874.28,377.58 MFLOPs,5379084
8,0.7573,73.08,0.8606,69.29,71.86,0.4521,874.28,377.58 MFLOPs,5379084
9,0.7076,75.05,0.8185,71.35,71.82,0.4524,874.28,377.58 MFLOPs,5379084
10,0.6535,76.72,0.8572,70.27,71.57,0.4523,874.28,377.58 MFLOPs,5379084
11,0.614,78.52,0.8177,72.41,72.3,0.4523,874.28,377.58 MFLOPs,5379084
12,0.5989,78.73,0.7768,73.77,71.85,0.453,874.28,377.58 MFLOPs,5379084
13,0.5249,81.37,0.8018,73.61,72.14,0.4528,874.28,377.58 MFLOPs,5379084
14,0.4841,82.97,0.7848,74.11,71.81,0.4524,874.28,377.58 MFLOPs,5379084
15,0.4468,84.26,0.7963,74.63,71.8,0.4523,874.28,377.58 MFLOPs,5379084
16,0.4255,84.87,0.793,75.48,71.75,0.4535,874.28,377.58 MFLOPs,5379084
17,0.3952,86.13,0.8206,73.65,71.77,0.453,874.28,377.58 MFLOPs,5379084
18,0.3653,87.07,0.8426,74.38,72.05,0.4535,874.28,377.58 MFLOPs,5379084
19,0.3425,87.78,0.8339,74.64,71.98,0.4526,874.28,377.58 MFLOPs,5379084
20,0.3241,88.55,0.8684,75.02,71.82,0.4532,874.28,377.58 MFLOPs,5379084
21,0.3025,89.22,0.806,75.4,71.7,0.4528,874.28,377.58 MFLOPs,5379084
22,0.2849,89.82,0.8382,75.61,71.82,0.4528,874.28,377.58 MFLOPs,5379084
23,0.2721,90.34,0.9124,74.88,71.8,0.452,874.28,377.58 MFLOPs,5379084
24,0.2535,91.05,0.8853,75.3,71.77,0.4533,874.28,377.58 MFLOPs,5379084
25,0.2459,91.3,0.9038,74.66,72.14,0.4523,874.28,377.58 MFLOPs,5379084
26,0.2347,91.69,0.889,75.56,71.76,0.4531,874.28,377.58 MFLOPs,5379084
27,0.2318,91.77,0.8987,75.93,71.64,0.4525,874.28,377.58 MFLOPs,5379084
28,0.216,92.41,0.8922,76.11,71.81,0.453,874.28,377.58 MFLOPs,5379084
29,0.2119,92.5,0.9031,76.12,71.78,0.453,874.28,377.58 MFLOPs,5379084
30,0.208,92.58,0.8937,75.95,71.74,0.452,874.28,377.58 MFLOPs,5379084
31,0.1969,93.1,0.9071,76.21,71.81,0.453,874.28,377.58 MFLOPs,5379084
32,0.1925,93.17,0.9952,75.35,71.77,0.4524,874.28,377.58 MFLOPs,5379084
33,0.1918,93.3,0.9005,76.61,71.75,0.4529,874.28,377.58 MFLOPs,5379084
34,0.1875,93.36,0.929,76.51,71.54,0.4527,874.28,377.58 MFLOPs,5379084
35,0.1779,93.66,0.9612,76.91,71.71,0.4535,874.28,377.58 MFLOPs,5379084
36,0.1712,93.99,0.9317,76.56,71.91,0.4522,874.28,377.58 MFLOPs,5379084
37,0.1802,93.61,0.9985,74.75,71.69,0.4523,874.28,377.58 MFLOPs,5379084
38,0.1676,94.11,0.9534,76.69,71.75,0.4522,874.28,377.58 MFLOPs,5379084
39,0.1632,94.17,0.9628,76.5,71.76,0.4529,874.28,377.58 MFLOPs,5379084
40,0.1666,94.15,0.9409,76.65,71.79,0.4534,874.28,377.58 MFLOPs,5379084
41,0.1615,94.28,0.9606,76.33,71.76,0.4533,874.28,377.58 MFLOPs,5379084
42,0.1583,94.38,0.9678,76.32,72.14,0.4528,874.28,377.58 MFLOPs,5379084
43,0.1526,94.62,0.9708,76.34,71.75,0.4525,874.28,377.58 MFLOPs,5379084
44,0.154,94.57,1.004,77.11,71.74,0.4522,874.28,377.58 MFLOPs,5379084
45,0.1571,94.52,0.9469,76.77,71.77,0.4522,874.28,377.58 MFLOPs,5379084
46,0.1432,95.02,0.9803,77.23,71.86,0.4526,874.28,377.58 MFLOPs,5379084
47,0.1547,94.59,0.9735,76.79,71.77,0.4528,874.28,377.58 MFLOPs,5379084
48,0.1472,94.79,0.9539,77.09,71.75,0.452,874.28,377.58 MFLOPs,5379084
49,0.1411,95.05,0.9867,77.07,71.64,0.4522,874.28,377.58 MFLOPs,5379084
50,0.1495,94.72,0.9331,77.32,71.5,0.4523,874.28,377.58 MFLOPs,5379084
51,0.1408,95.04,0.9844,77.03,71.81,0.4534,874.28,377.58 MFLOPs,5379084
