epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,3.4119,19.6,2.7034,30.99,78.79,0.4844,951.08,428.20 MFLOPs,5595364
2,2.4764,35.73,2.2955,39.79,78.74,0.4844,951.08,428.20 MFLOPs,5595364
3,2.0668,44.69,2.0971,44.17,78.75,0.4846,951.08,428.20 MFLOPs,5595364
4,1.781,51.0,1.9954,47.15,78.74,0.4841,951.08,428.20 MFLOPs,5595364
5,1.5306,56.83,1.934,49.81,78.74,0.4843,951.08,428.20 MFLOPs,5595364
6,1.2693,63.29,1.8728,51.58,78.71,0.4847,951.08,428.20 MFLOPs,5595364
7,1.0209,69.5,1.9969,50.64,78.73,0.4843,951.08,428.20 MFLOPs,5595364
8,0.799,75.4,2.0553,51.68,78.69,0.4846,951.08,428.20 MFLOPs,5595364
9,0.6252,80.15,2.2243,51.54,78.7,0.4839,951.08,428.20 MFLOPs,5595364
10,0.5213,83.33,2.3537,50.99,78.69,0.4848,951.08,428.20 MFLOPs,5595364
11,0.4466,85.73,2.4328,52.06,78.7,0.4843,951.08,428.20 MFLOPs,5595364
12,0.3911,87.22,2.4676,51.24,78.67,0.4844,951.08,428.20 MFLOPs,5595364
13,0.3682,87.99,2.5028,51.99,78.68,0.4845,951.08,428.20 MFLOPs,5595364
14,0.3242,89.46,2.524,52.01,78.71,0.4848,951.08,428.20 MFLOPs,5595364
15,0.3237,89.77,2.5752,52.38,78.71,0.4846,951.08,428.20 MFLOPs,5595364
16,0.3075,90.08,2.7273,50.27,78.69,0.4838,951.08,428.20 MFLOPs,5595364
17,0.2887,90.76,2.6853,52.19,78.68,0.4845,951.08,428.20 MFLOPs,5595364
18,0.2728,91.18,2.7934,51.09,78.68,0.4846,951.08,428.20 MFLOPs,5595364
19,0.2611,91.59,2.7558,52.4,78.68,0.484,951.08,428.20 MFLOPs,5595364
20,0.2748,91.24,2.7538,52.41,78.64,0.4842,951.08,428.20 MFLOPs,5595364
21,0.2416,92.17,2.7426,52.13,78.66,0.4844,951.08,428.20 MFLOPs,5595364
22,0.2316,92.7,2.8467,51.23,78.65,0.4843,951.08,428.20 MFLOPs,5595364
23,0.246,92.13,2.7616,51.73,78.67,0.4844,951.08,428.20 MFLOPs,5595364
24,0.241,92.24,2.8248,51.73,78.64,0.4845,951.08,428.20 MFLOPs,5595364
25,0.2182,92.98,2.7401,52.72,78.66,0.4844,951.08,428.20 MFLOPs,5595364
26,0.2234,92.82,2.8385,51.97,78.65,0.4843,951.08,428.20 MFLOPs,5595364
27,0.203,93.53,2.8443,51.94,78.68,0.4841,951.08,428.20 MFLOPs,5595364
28,0.22,92.93,2.8955,52.74,78.68,0.4844,951.08,428.20 MFLOPs,5595364
29,0.2172,93.01,2.8912,52.22,78.64,0.4846,951.08,428.20 MFLOPs,5595364
30,0.2038,93.49,2.9175,52.42,78.65,0.4847,951.08,428.20 MFLOPs,5595364
31,0.1954,93.7,2.8071,53.35,78.62,0.4842,951.08,428.20 MFLOPs,5595364
32,0.2239,92.68,2.8161,53.58,78.64,0.4843,951.08,428.20 MFLOPs,5595364
