epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,3.4119,19.6,2.7034,30.99,75.2,0.4652,951.08,428.20 MFLOPs,5595364
2,2.4764,35.73,2.2955,39.79,77.83,0.4814,951.08,428.20 MFLOPs,5595364
3,2.0668,44.69,2.0971,44.17,78.48,0.4848,951.08,428.20 MFLOPs,5595364
4,1.781,51.0,1.9954,47.15,78.7,0.4849,951.08,428.20 MFLOPs,5595364
5,1.5306,56.83,1.934,49.81,78.73,0.4847,951.08,428.20 MFLOPs,5595364
6,1.2693,63.29,1.8728,51.58,78.76,0.4849,951.08,428.20 MFLOPs,5595364
7,1.0209,69.5,1.9969,50.64,78.71,0.4844,951.08,428.20 MFLOPs,5595364
8,0.799,75.4,2.0553,51.68,78.7,0.4848,951.08,428.20 MFLOPs,5595364
9,0.6252,80.15,2.2243,51.54,78.67,0.4844,951.08,428.20 MFLOPs,5595364
10,0.5213,83.33,2.3537,50.99,78.68,0.4848,951.08,428.20 MFLOPs,5595364
11,0.4466,85.73,2.4328,52.06,78.69,0.4843,951.08,428.20 MFLOPs,5595364
12,0.3911,87.22,2.4676,51.24,78.69,0.4849,951.08,428.20 MFLOPs,5595364
13,0.3682,87.99,2.5028,51.99,78.7,0.4848,951.08,428.20 MFLOPs,5595364
14,0.3242,89.46,2.524,52.01,78.69,0.4848,951.08,428.20 MFLOPs,5595364
15,0.3237,89.77,2.5752,52.38,78.66,0.4846,951.08,428.20 MFLOPs,5595364
