epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,3.8915,11.84,3.4134,17.91,68.69,0.43,874.15,375.82 MFLOPs,5368806
2,3.0857,23.71,2.9881,26.45,68.5,0.4329,874.15,375.82 MFLOPs,5368806
3,2.7131,31.03,2.5926,33.63,69.14,0.4414,874.15,375.82 MFLOPs,5368806
4,2.429,36.77,2.4419,37.09,70.02,0.4467,874.15,375.82 MFLOPs,5368806
5,2.1704,41.99,2.4048,38.26,70.68,0.4496,874.15,375.82 MFLOPs,5368806
6,1.9308,47.58,2.2347,42.31,70.73,0.4505,874.15,375.82 MFLOPs,5368806
7,1.6792,53.23,2.234,43.28,70.85,0.4479,874.15,375.82 MFLOPs,5368806
8,1.4475,58.32,2.2797,43.55,71.15,0.4511,874.15,375.82 MFLOPs,5368806
9,1.2069,64.5,2.3136,44.1,71.44,0.4525,874.15,375.82 MFLOPs,5368806
10,0.9784,70.54,2.4001,44.43,71.74,0.4533,874.15,375.82 MFLOPs,5368806
11,0.7758,75.99,2.4446,46.21,71.58,0.4529,874.15,375.82 MFLOPs,5368806
12,0.6231,80.32,2.6971,44.78,71.78,0.4536,874.15,375.82 MFLOPs,5368806
13,0.5354,82.78,2.7327,45.01,71.88,0.4527,874.15,375.82 MFLOPs,5368806
14,0.4513,85.64,2.873,45.33,71.83,0.4529,874.15,375.82 MFLOPs,5368806
15,0.4185,86.4,2.9952,45.21,71.7,0.4539,874.15,375.82 MFLOPs,5368806
16,0.3856,87.64,3.0102,45.04,71.93,0.4534,874.15,375.82 MFLOPs,5368806
17,0.3491,88.68,3.0164,46.36,72.46,0.4541,874.15,375.82 MFLOPs,5368806
18,0.351,88.79,3.1231,45.19,71.99,0.4528,874.15,375.82 MFLOPs,5368806
19,0.3225,89.45,3.1527,45.03,71.96,0.4534,874.15,375.82 MFLOPs,5368806
20,0.3132,89.91,3.1462,45.63,71.95,0.4542,874.15,375.82 MFLOPs,5368806
21,0.3027,90.22,3.0609,47.17,72.36,0.4527,874.15,375.82 MFLOPs,5368806
22,0.2802,90.98,3.2602,45.54,72.09,0.4532,874.15,375.82 MFLOPs,5368806
23,0.2735,91.24,3.2899,45.41,72.39,0.4532,874.15,375.82 MFLOPs,5368806
24,0.2809,90.91,3.3116,46.22,71.93,0.4536,874.15,375.82 MFLOPs,5368806
25,0.2691,91.28,3.2914,46.82,71.95,0.4537,874.15,375.82 MFLOPs,5368806
26,0.2315,92.55,3.2559,46.01,72.39,0.453,874.15,375.82 MFLOPs,5368806
27,0.2535,91.93,3.3449,46.02,71.85,0.4533,874.15,375.82 MFLOPs,5368806
28,0.2668,91.43,3.3491,45.81,71.92,0.4526,874.15,375.82 MFLOPs,5368806
29,0.2434,92.26,3.3158,45.39,71.78,0.4538,874.15,375.82 MFLOPs,5368806
30,0.2151,93.08,3.3415,45.56,72.14,0.4538,874.15,375.82 MFLOPs,5368806
31,0.2379,92.37,3.5225,45.13,72.03,0.4554,874.15,375.82 MFLOPs,5368806
32,0.2267,92.58,3.325,46.1,71.76,0.4528,874.15,375.82 MFLOPs,5368806
33,0.2189,92.98,3.4288,46.0,72.03,0.4537,874.15,375.82 MFLOPs,5368806
34,0.2201,93.01,3.5595,44.61,71.9,0.4528,874.15,375.82 MFLOPs,5368806
35,0.2338,92.51,3.3918,46.93,71.88,0.4532,874.15,375.82 MFLOPs,5368806
36,0.1953,93.62,3.4705,45.49,71.93,0.4539,874.15,375.82 MFLOPs,5368806
37,0.2181,92.9,3.4827,45.97,71.89,0.4527,874.15,375.82 MFLOPs,5368806
38,0.2092,93.41,3.3976,45.02,71.89,0.4536,874.15,375.82 MFLOPs,5368806
39,0.1987,93.66,3.4923,44.82,71.9,0.4536,874.15,375.82 MFLOPs,5368806
