epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.4234,51.03,1.0778,62.45,87.14,0.5528,962.99,429.26 MFLOPs,5576266
2,0.9351,67.02,0.868,69.09,87.61,0.5544,962.99,429.26 MFLOPs,5576266
3,0.7996,71.83,0.8315,70.81,88.73,0.5667,962.99,429.26 MFLOPs,5576266
4,0.7084,75.06,0.7475,74.01,89.6,0.5667,962.99,429.26 MFLOPs,5576266
5,0.6208,78.34,0.7294,74.86,90.15,0.5774,962.99,429.26 MFLOPs,5576266
6,0.5575,80.32,0.6646,77.39,90.28,0.5733,962.99,429.26 MFLOPs,5576266
7,0.4952,82.61,0.6609,77.75,90.31,0.5744,962.99,429.26 MFLOPs,5576266
8,0.4449,84.44,0.6134,79.42,90.7,0.5766,962.99,429.26 MFLOPs,5576266
9,0.3971,86.36,0.6385,79.97,90.63,0.576,962.99,429.26 MFLOPs,5576266
10,0.3536,87.55,0.6265,79.4,90.93,0.5773,962.99,429.26 MFLOPs,5576266
11,0.3125,89.11,0.5925,81.61,91.24,0.577,962.99,429.26 MFLOPs,5576266
12,0.2823,90.2,0.6352,80.63,90.76,0.5775,962.99,429.26 MFLOPs,5576266
13,0.252,91.04,0.5875,81.94,91.07,0.5777,962.99,429.26 MFLOPs,5576266
14,0.2355,91.73,0.6357,81.16,91.03,0.5778,962.99,429.26 MFLOPs,5576266
15,0.2103,92.56,0.6498,81.76,91.09,0.5775,962.99,429.26 MFLOPs,5576266
16,0.1994,93.02,0.6604,81.32,91.24,0.5775,962.99,429.26 MFLOPs,5576266
17,0.1799,93.69,0.646,82.2,91.2,0.5769,962.99,429.26 MFLOPs,5576266
18,0.1667,94.04,0.7055,82.61,91.18,0.5766,962.99,429.26 MFLOPs,5576266
19,0.1634,94.24,0.6975,81.47,91.08,0.5776,962.99,429.26 MFLOPs,5576266
20,0.1511,94.67,0.7099,82.24,91.1,0.5773,962.99,429.26 MFLOPs,5576266
21,0.1432,94.92,0.7276,81.52,91.2,0.5772,962.99,429.26 MFLOPs,5576266
22,0.1383,95.09,0.7144,82.22,91.21,0.5773,962.99,429.26 MFLOPs,5576266
