epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.9714,30.48,1.735,35.35,92.09,0.599,849.03,375.97 MFLOPs,5388682
2,1.6297,40.03,1.603,42.02,92.31,0.6,849.03,375.97 MFLOPs,5388682
3,1.5499,43.33,1.5538,43.66,92.2,0.6007,849.03,375.97 MFLOPs,5388682
4,1.4826,45.89,1.5216,45.37,91.81,0.5951,849.03,375.97 MFLOPs,5388682
5,1.4268,48.38,1.4356,47.72,92.22,0.6041,849.03,375.97 MFLOPs,5388682
6,1.3655,50.63,1.4295,47.89,92.16,0.6055,849.03,375.97 MFLOPs,5388682
7,1.3207,52.29,1.3489,51.69,93.33,0.5944,849.03,375.97 MFLOPs,5388682
8,1.2621,54.42,1.3888,51.23,92.07,0.6051,849.03,375.97 MFLOPs,5388682
9,1.2006,56.93,1.3365,52.52,92.79,0.5988,849.03,375.97 MFLOPs,5388682
10,1.1569,58.28,1.3211,53.5,92.54,0.6066,849.03,375.97 MFLOPs,5388682
11,1.1016,60.33,1.2803,54.7,92.52,0.6038,849.03,375.97 MFLOPs,5388682
12,1.0473,62.64,1.2875,54.72,92.32,0.5945,849.03,375.97 MFLOPs,5388682
13,0.9869,64.44,1.3235,53.92,92.23,0.6002,849.03,375.97 MFLOPs,5388682
14,0.9253,66.73,1.2737,55.82,92.07,0.6053,849.03,375.97 MFLOPs,5388682
15,0.8628,68.83,1.3448,56.13,92.21,0.5974,849.03,375.97 MFLOPs,5388682
16,0.7945,71.23,1.3296,56.25,92.94,0.6025,849.03,375.97 MFLOPs,5388682
17,0.7314,73.8,1.4064,56.37,93.04,0.6071,849.03,375.97 MFLOPs,5388682
18,0.6702,75.71,1.4093,55.95,92.6,0.602,849.03,375.97 MFLOPs,5388682
19,0.6058,78.15,1.4938,55.12,93.01,0.6026,849.03,375.97 MFLOPs,5388682
20,0.542,80.56,1.5687,54.7,92.77,0.5998,849.03,375.97 MFLOPs,5388682
21,0.4913,82.3,1.6497,54.34,92.65,0.5978,849.03,375.97 MFLOPs,5388682
22,0.4376,84.36,1.6654,55.26,92.57,0.5954,849.03,375.97 MFLOPs,5388682
23,0.4007,85.62,1.7142,55.45,92.3,0.6012,849.03,375.97 MFLOPs,5388682
24,0.3676,86.8,1.7929,55.06,92.34,0.5982,849.03,375.97 MFLOPs,5388682
25,0.3373,87.83,1.8453,54.8,92.19,0.6015,849.03,375.97 MFLOPs,5388682
26,0.3105,88.82,1.9146,55.19,92.49,0.6005,849.03,375.97 MFLOPs,5388682
27,0.3044,89.0,1.9983,54.59,93.27,0.601,849.03,375.97 MFLOPs,5388682
28,0.2779,90.15,1.9304,54.93,92.89,0.6004,849.03,375.97 MFLOPs,5388682
29,0.2664,90.49,1.9912,55.02,92.38,0.6004,849.03,375.97 MFLOPs,5388682
30,0.2606,90.63,2.0619,54.52,92.35,0.5979,849.03,375.97 MFLOPs,5388682
31,0.2563,90.95,2.0845,55.15,92.53,0.5981,849.03,375.97 MFLOPs,5388682
32,0.2465,91.31,2.1257,54.63,92.37,0.6006,849.03,375.97 MFLOPs,5388682
33,0.2373,91.61,2.149,54.47,92.53,0.5994,849.03,375.97 MFLOPs,5388682
34,0.2255,91.92,2.1521,53.8,92.63,0.608,849.03,375.97 MFLOPs,5388682
35,0.2348,91.65,2.1226,54.85,92.57,0.5982,849.03,375.97 MFLOPs,5388682
36,0.2143,92.42,2.176,55.1,92.79,0.6294,849.03,375.97 MFLOPs,5388682
37,0.217,92.35,2.1477,54.05,93.38,0.6051,849.03,375.97 MFLOPs,5388682
38,0.2093,92.63,2.3219,53.82,94.64,0.6092,849.03,375.97 MFLOPs,5388682
39,0.2097,92.53,2.2264,54.71,92.72,0.5976,849.03,375.97 MFLOPs,5388682
40,0.1953,93.01,2.2564,53.91,92.73,0.5994,849.03,375.97 MFLOPs,5388682
41,0.2125,92.49,2.1685,56.13,93.68,0.602,849.03,375.97 MFLOPs,5388682
42,0.1931,93.23,2.2669,55.23,93.1,0.6031,849.03,375.97 MFLOPs,5388682
43,0.1919,93.27,2.2757,55.03,93.59,0.6018,849.03,375.97 MFLOPs,5388682
44,0.1982,92.99,2.2136,55.43,93.06,0.6046,849.03,375.97 MFLOPs,5388682
45,0.1837,93.56,2.2769,54.68,92.92,0.5954,849.03,375.97 MFLOPs,5388682
46,0.1852,93.54,2.2306,55.04,93.44,0.6036,849.03,375.97 MFLOPs,5388682
47,0.1853,93.57,2.3343,54.53,92.58,0.6003,849.03,375.97 MFLOPs,5388682
48,0.1928,93.25,2.273,53.64,92.78,0.6083,849.03,375.97 MFLOPs,5388682
49,0.1796,93.74,2.387,53.47,92.4,0.6045,849.03,375.97 MFLOPs,5388682
50,0.1755,93.72,2.2561,55.69,93.38,0.6047,849.03,375.97 MFLOPs,5388682
51,0.1721,94.05,2.3863,54.6,93.16,0.6051,849.03,375.97 MFLOPs,5388682
52,0.1939,93.22,2.4277,55.21,92.53,0.5983,849.03,375.97 MFLOPs,5388682
53,0.1634,94.2,2.3498,55.05,94.87,0.5972,849.03,375.97 MFLOPs,5388682
54,0.1697,94.08,2.3517,54.61,92.42,0.5938,849.03,375.97 MFLOPs,5388682
55,0.1829,93.62,2.2551,55.0,92.12,0.6055,849.03,375.97 MFLOPs,5388682
56,0.1634,94.29,2.2871,54.97,92.61,0.6039,849.03,375.97 MFLOPs,5388682
57,0.1644,94.25,2.3344,54.97,92.8,0.6188,849.03,375.97 MFLOPs,5388682
58,0.1699,93.97,2.3068,55.73,94.2,0.6,849.03,375.97 MFLOPs,5388682
59,0.1707,94.11,2.3688,54.15,92.55,0.5982,849.03,375.97 MFLOPs,5388682
60,0.1652,94.21,2.2683,55.92,92.47,0.5963,849.03,375.97 MFLOPs,5388682
61,0.159,94.43,2.3403,53.7,92.49,0.5942,849.03,375.97 MFLOPs,5388682
62,0.1647,94.3,2.3601,54.4,92.15,0.599,849.03,375.97 MFLOPs,5388682
63,0.1568,94.56,2.3922,54.86,92.86,0.617,849.03,375.97 MFLOPs,5388682
64,0.1687,94.21,2.2385,55.49,92.89,0.6138,849.03,375.97 MFLOPs,5388682
65,0.1606,94.41,2.3965,53.66,93.89,0.5968,849.03,375.97 MFLOPs,5388682
66,0.1587,94.44,2.4205,54.56,93.43,0.6051,849.03,375.97 MFLOPs,5388682
67,0.1565,94.47,2.3299,54.75,93.26,0.6185,849.03,375.97 MFLOPs,5388682
68,0.1623,94.33,2.4497,54.89,92.74,0.5986,849.03,375.97 MFLOPs,5388682
69,0.1526,94.67,2.4923,53.54,93.23,0.6066,849.03,375.97 MFLOPs,5388682
70,0.1639,94.32,2.4098,54.05,93.29,0.6004,849.03,375.97 MFLOPs,5388682
