epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.5973,42.63,1.4027,50.48,61.26,0.3912,838.22,371.71 MFLOPs,5388683
2,1.2457,55.25,1.2367,56.02,61.43,0.3932,838.22,371.71 MFLOPs,5388683
3,1.1149,60.18,1.1733,58.86,61.98,0.4063,838.22,371.71 MFLOPs,5388683
4,1.0267,63.56,1.0391,63.02,62.88,0.4051,838.22,371.71 MFLOPs,5388683
5,0.9457,66.55,0.9942,65.28,63.0,0.4056,838.22,371.71 MFLOPs,5388683
6,0.8813,68.77,0.934,67.36,63.21,0.4104,838.22,371.71 MFLOPs,5388683
7,0.8229,70.9,0.97,66.56,63.63,0.4111,838.22,371.71 MFLOPs,5388683
8,0.7696,72.65,0.8584,69.89,63.59,0.4094,838.22,371.71 MFLOPs,5388683
9,0.726,74.39,0.9091,68.42,63.96,0.4109,838.22,371.71 MFLOPs,5388683
10,0.677,76.09,0.8529,70.43,63.98,0.4109,838.22,371.71 MFLOPs,5388683
11,0.6329,77.8,0.8316,71.13,64.32,0.4114,838.22,371.71 MFLOPs,5388683
12,0.5979,78.96,0.7919,72.99,64.25,0.4115,838.22,371.71 MFLOPs,5388683
13,0.5497,80.58,0.897,70.79,64.2,0.4112,838.22,371.71 MFLOPs,5388683
14,0.5145,81.73,0.8308,72.2,64.27,0.4114,838.22,371.71 MFLOPs,5388683
15,0.4784,82.85,0.8755,72.65,64.26,0.4111,838.22,371.71 MFLOPs,5388683
16,0.439,84.39,0.8285,73.39,64.29,0.411,838.22,371.71 MFLOPs,5388683
17,0.409,85.25,0.8341,73.35,64.29,0.4115,838.22,371.71 MFLOPs,5388683
18,0.375,86.49,0.931,71.82,64.25,0.411,838.22,371.71 MFLOPs,5388683
19,0.3514,87.2,0.9391,72.14,64.28,0.4112,838.22,371.71 MFLOPs,5388683
20,0.3178,88.47,0.9121,73.0,64.26,0.4113,838.22,371.71 MFLOPs,5388683
21,0.2911,89.47,0.9476,72.29,64.25,0.4108,838.22,371.71 MFLOPs,5388683
22,0.2747,90.01,0.9605,72.5,64.27,0.4109,838.22,371.71 MFLOPs,5388683
23,0.2528,90.91,0.9815,73.01,64.23,0.4113,838.22,371.71 MFLOPs,5388683
24,0.2423,91.26,1.0785,72.08,64.23,0.4112,838.22,371.71 MFLOPs,5388683
25,0.223,91.91,1.0564,72.37,64.22,0.411,838.22,371.71 MFLOPs,5388683
26,0.2219,91.92,1.0935,72.28,64.22,0.4111,838.22,371.71 MFLOPs,5388683
27,0.2086,92.62,1.0728,72.32,64.22,0.411,838.22,371.71 MFLOPs,5388683
28,0.1972,92.94,1.0806,72.97,64.27,0.4109,838.22,371.71 MFLOPs,5388683
29,0.1971,92.94,1.098,73.12,64.23,0.4115,838.22,371.71 MFLOPs,5388683
30,0.189,93.24,1.0442,73.6,64.23,0.4112,838.22,371.71 MFLOPs,5388683
31,0.1837,93.43,1.1514,72.86,64.2,0.4109,838.22,371.71 MFLOPs,5388683
32,0.1741,93.71,1.0466,74.17,64.23,0.4119,838.22,371.71 MFLOPs,5388683
33,0.1748,93.72,1.1651,72.54,64.23,0.411,838.22,371.71 MFLOPs,5388683
34,0.1704,93.86,1.194,72.28,64.21,0.4114,838.22,371.71 MFLOPs,5388683
35,0.1726,93.74,1.1375,72.71,64.25,0.4113,838.22,371.71 MFLOPs,5388683
36,0.1644,94.12,1.1545,73.02,64.25,0.4115,838.22,371.71 MFLOPs,5388683
37,0.1602,94.35,1.153,72.96,64.21,0.4115,838.22,371.71 MFLOPs,5388683
38,0.1632,94.13,1.0681,73.74,64.24,0.4113,838.22,371.71 MFLOPs,5388683
39,0.1494,94.75,1.2034,72.69,64.23,0.4116,838.22,371.71 MFLOPs,5388683
40,0.159,94.23,1.1528,73.27,64.21,0.4111,838.22,371.71 MFLOPs,5388683
41,0.151,94.63,1.1358,73.17,64.21,0.4112,838.22,371.71 MFLOPs,5388683
42,0.1526,94.5,1.1526,73.24,64.2,0.4112,838.22,371.71 MFLOPs,5388683
43,0.1426,94.84,1.1582,72.79,64.2,0.4108,838.22,371.71 MFLOPs,5388683
44,0.1504,94.66,1.1212,73.5,64.19,0.411,838.22,371.71 MFLOPs,5388683
45,0.1444,94.84,1.1326,74.37,64.2,0.4113,838.22,371.71 MFLOPs,5388683
46,0.1405,95.03,1.0897,73.97,64.21,0.4112,838.22,371.71 MFLOPs,5388683
47,0.1525,94.58,1.1449,73.71,64.21,0.4112,838.22,371.71 MFLOPs,5388683
48,0.1402,94.97,1.0949,74.62,64.22,0.4111,838.22,371.71 MFLOPs,5388683
49,0.1332,95.32,1.1576,74.05,64.21,0.4107,838.22,371.71 MFLOPs,5388683
50,0.1385,95.15,1.1418,73.36,64.23,0.4111,838.22,371.71 MFLOPs,5388683
