epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.6672,41.38,1.3988,49.22,21.4,0.1261,269.33,94.14 MFLOPs,5378506
2,1.3459,51.66,1.3378,52.45,21.13,0.1262,269.33,94.14 MFLOPs,5378506
3,1.2601,54.9,1.2359,55.45,22.83,0.1263,269.33,94.14 MFLOPs,5378506
4,1.1861,57.65,1.1931,57.2,21.24,0.1266,269.33,94.14 MFLOPs,5378506
5,1.1084,60.53,1.2275,56.73,21.32,0.1277,269.33,94.14 MFLOPs,5378506
6,1.0388,62.81,1.1576,58.72,21.34,0.1272,269.33,94.14 MFLOPs,5378506
7,0.9756,65.2,1.1121,60.61,21.42,0.1288,269.33,94.14 MFLOPs,5378506
8,0.9008,67.85,1.0574,62.83,22.99,0.1276,269.33,94.14 MFLOPs,5378506
9,0.8355,70.16,1.0556,63.58,21.51,0.1283,269.33,94.14 MFLOPs,5378506
10,0.7732,72.26,1.0958,61.76,21.49,0.1279,269.33,94.14 MFLOPs,5378506
11,0.7046,74.74,1.0687,64.4,21.54,0.1285,269.33,94.14 MFLOPs,5378506
12,0.638,77.06,1.0673,64.95,23.04,0.1283,269.33,94.14 MFLOPs,5378506
13,0.5755,79.25,1.1058,65.1,21.67,0.128,269.33,94.14 MFLOPs,5378506
14,0.5146,81.57,1.1465,65.33,21.78,0.1281,269.33,94.14 MFLOPs,5378506
15,0.4541,83.48,1.2128,65.47,21.51,0.1282,269.33,94.14 MFLOPs,5378506
16,0.4062,85.54,1.2158,64.84,23.15,0.1291,269.33,94.14 MFLOPs,5378506
17,0.3632,86.82,1.2843,64.68,22.83,0.1282,269.33,94.14 MFLOPs,5378506
18,0.3183,88.55,1.3144,65.73,22.77,0.1285,269.33,94.14 MFLOPs,5378506
19,0.2952,89.42,1.3243,65.24,23.14,0.1282,269.33,94.14 MFLOPs,5378506
20,0.2716,90.27,1.325,65.58,21.57,0.1306,269.33,94.14 MFLOPs,5378506
21,0.2469,91.15,1.4153,65.74,21.74,0.1313,269.33,94.14 MFLOPs,5378506
22,0.2387,91.46,1.4481,65.11,21.75,0.1309,269.33,94.14 MFLOPs,5378506
23,0.2279,91.88,1.4625,65.56,21.68,0.1326,269.33,94.14 MFLOPs,5378506
24,0.2135,92.37,1.4639,66.2,21.84,0.1324,269.33,94.14 MFLOPs,5378506
25,0.2067,92.67,1.5212,66.01,21.62,0.13,269.33,94.14 MFLOPs,5378506
26,0.1975,93.06,1.524,65.6,21.69,0.1323,269.33,94.14 MFLOPs,5378506
27,0.1913,93.25,1.5797,65.45,21.68,0.1311,269.33,94.14 MFLOPs,5378506
28,0.1817,93.61,1.5518,65.86,21.69,0.1316,269.33,94.14 MFLOPs,5378506
29,0.1816,93.64,1.6888,64.37,21.73,0.131,269.33,94.14 MFLOPs,5378506
30,0.1786,93.71,1.6668,65.12,21.72,0.1314,269.33,94.14 MFLOPs,5378506
